,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
66,b'AcidFlys',"b""This app is amazing DEFINITELY RECCOMEND it's free and it's easy to find music that you want and the 'search on youtube' feature is just AMAZING""",b'Rated 5 stars out of five stars',"b'March 6, 2020'","{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9599}",0.9599,Positive,0.4066666666666666,0.7866666666666667,Positive
67,b'Razvan Tataru',b'I like the overall functionality but it still feels like it needs improvements like a less buggy experience or a more intuitive UI',b'Rated 4 stars out of five stars',"b'February 15, 2020'","{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.8807}",0.8807,Positive,0.11111111111111112,0.18888888888888888,Positive
68,b'Mat\xc3\xadas Schelotto Levanavicius',"b""Love this app it's LITERALLY Spotify premium membership for free! Didn't expect an app like this on Play Store! And you can even DOWNLOAD songs too!""",b'Rated 5 stars out of five stars',"b'February 21, 2020'","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.8433}",0.8433,Positive,0.640625,0.7,Positive
69,b'sam',"b""id say the app is already perfect but it doesn't let me use other apps while listening to songs which is kinda frustrating""",b'Rated 3 stars out of five stars',"b'February 22, 2020'","{'neg': 0.127, 'neu': 0.785, 'pos': 0.088, 'compound': -0.2641}",-0.2641,Negative,0.15833333333333333,0.7583333333333333,Positive
70,b'Adzack K',"b'Music is fine, download is fine, the app look nice but crash alot. 5 star if the crashing is fix'",b'Rated 3 stars out of five stars',"b'January 23, 2020'","{'neg': 0.153, 'neu': 0.645, 'pos': 0.202, 'compound': -0.2144}",-0.2144,Negative,0.4777777777777778,0.6666666666666666,Positive
71,b'Jayden Jacobs',b'Its a good app but ...it takes to long to download songs offline and it glitches to much',b'Rated 3 stars out of five stars',"b'February 8, 2020'","{'neg': 0.094, 'neu': 0.802, 'pos': 0.104, 'compound': 0.0516}",0.0516,Positive,0.2833333333333333,0.4,Positive
72,b'JP Plumley',"b""Great music app only problem I have is it glitches when I'm off line other then that I love it""",b'Rated 5 stars out of five stars',"b'February 26, 2020'","{'neg': 0.118, 'neu': 0.699, 'pos': 0.183, 'compound': 0.3612}",0.3612,Positive,0.29375,0.68125,Positive
73,b'abigail kennedy',"b""It's so good it's Spotify premium for free!""",b'Rated 5 stars out of five stars',"b'March 28, 2020'","{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.54}",0.54,Positive,0.6,0.7000000000000001,Positive
74,b'Beatboxing fox',"b""The app is really faulty it wont even load my offline playlist when I'm not connected to the internet so its pointless when I'm outside the house \xf0\x9f\x99\x84""",b'Rated 1 stars out of five stars',"b'March 1, 2020'","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4754}",-0.4754,Negative,-0.016666666666666663,0.25,Negative
75,b'King ninja',b'Easy to find the music and its also free',b'Rated 5 stars out of five stars',"b'April 4, 2020'","{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}",0.5106,Positive,0.4166666666666667,0.8166666666666667,Positive
76,b'Micaela Cuschieri',"b""It's really useful cause you can go on multiple apps but your still hearing music""",b'Rated 5 stars out of five stars',"b'January 31, 2020'","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2724}",0.2724,Positive,0.15,0.0,Positive
77,b'Arlindo Santos',"b'Superb app, but sometimes freezes'",b'Rated 4 stars out of five stars',"b'April 2, 2020'","{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.0387}",-0.0387,Negative,1.0,1.0,Positive
78,b'Dakshesh M',b'Its very nice.I would give it a five but it hangs when i am playing music sometimes',b'Rated 3 stars out of five stars',"b'March 4, 2020'","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",0.29600000000000004,Positive,0.2,0.3,Positive
79,b'Bradley Butler',b'Have to open the app twice for it to work and is laggy',b'Rated 4 stars out of five stars',"b'April 8, 2020'","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.0,0.5,Negative
80,b'Joe Giarraputo',b'The place were your playlist is it wont load? Fix please.',b'Rated 3 stars out of five stars',"b'January 29, 2020'","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.0,0.0,Negative
81,b'Ricardo Rogers',"b""Some songs don't play so I remove them and then another song stops working. Help if you know pls""",b'Rated 3 stars out of five stars',"b'January 30, 2020'","{'neg': 0.168, 'neu': 0.647, 'pos': 0.185, 'compound': 0.0936}",0.0936,Positive,0.0,0.0,Negative
82,b'Will Trinder',b'Worked fine but now 3/4 songs dont work and tgey are stuck at 00:00',b'Rated 2 stars out of five stars',"b'March 3, 2020'","{'neg': 0.157, 'neu': 0.755, 'pos': 0.088, 'compound': -0.2732}",-0.2732,Negative,0.4166666666666667,0.5,Positive
83,b'Rizalyn Sarmiento',"b""The music won't play it's just stuck in 0:00""",b'Rated 2 stars out of five stars',"b'February 7, 2020'","{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.4653}",-0.4653,Negative,0.0,0.0,Negative
84,b'Adam Joshua',b'Spotify type app which has got amazing features like offline music option and got no ads',b'Rated 5 stars out of five stars',"b'February 7, 2020'","{'neg': 0.168, 'neu': 0.545, 'pos': 0.286, 'compound': 0.5574}",0.5574,Positive,0.6000000000000001,0.9,Positive
85,b'Yuthika Hurday',b'The songs downloaded offline does not play offline!!!!!',b'Rated 1 stars out of five stars',"b'February 3, 2020'","{'neg': 0.439, 'neu': 0.561, 'pos': 0.0, 'compound': -0.5725}",-0.5725,Negative,0.0,0.0,Negative
86,b'kevin balbaboco',"b'Its buggy, :| But tht can always be fixed with an update.'",b'Rated 5 stars out of five stars',"b'February 3, 2020'","{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Negative,0.1,0.2,Positive
87,b'Sofia Stubbs',b'Its nice has a lot of awsone options and i realy injoy it thanks for putting the efort to making such a splended app\xf0\x9f\x98\x8e.',b'Rated 4 stars out of five stars',"b'March 13, 2020'","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6908}",0.6908,Positive,0.26666666666666666,0.5666666666666667,Positive
88,b'Jeremy Kane',"b""The timer dosen't work any more i dont know if others people have this""",b'Rated 2 stars out of five stars',"b'March 7, 2020'","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.5,0.5,Positive
89,b'Shelly Short',b'Plays all the songs you looking for. Excellent. \xf0\x9f\x99\x82',b'Rated 5 stars out of five stars',"b'March 2, 2020'","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,Positive,1.0,1.0,Positive
90,b'Natalie Gurung',"b""Love it some of my downloaded songs aren't working pls fix them but this is the best app to exist""",b'Rated 5 stars out of five stars',"b'February 4, 2020'","{'neg': 0.045, 'neu': 0.723, 'pos': 0.233, 'compound': 0.771}",0.7709999999999999,Positive,0.75,0.45,Positive
91,b'Tim timinny',"b'Easy, fast and excellent catalogue.'",b'Rated 5 stars out of five stars',"b'March 3, 2020'","{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719,Positive,0.5444444444444444,0.8111111111111112,Positive
92,b'Aeromister 31 Aeromister',"b""The App keeps Shutting When I'm trying to play a Song and It won't let me Listen to them Without Wifi""",b'Rated 1 stars out of five stars',"b'January 20, 2020'","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",0.34,Positive,0.0,0.0,Negative
93,b'Lolbit Fazbear',"b""It is great except for the fact that you can't play music while on a different app kinda annoying when ur try to create a character on Monster Girl Maker and need muse and the music cuts off halfway through the song. Also I DID put draw over apps and it let a song and a half play, and then stopped w...\nFull Review""",b'Rated 5 stars out of five stars',"b'January 20, 2020'","{'neg': 0.156, 'neu': 0.752, 'pos': 0.091, 'compound': -0.3354}",-0.3354,Negative,-0.04166666666666666,0.6041666666666666,Negative
94,b'Esi # romano',"b'Best love it, it works with out wifi which is awesome'",b'Rated 5 stars out of five stars',"b'February 9, 2020'","{'neg': 0.0, 'neu': 0.52, 'pos': 0.48, 'compound': 0.8519}",0.8519,Positive,0.8333333333333334,0.6333333333333333,Positive
95,b'Bobbie Miller',"b""It's great. Some of my music that I have down loaded will not play. What's going on?""",b'Rated 4 stars out of five stars',"b'February 26, 2020'","{'neg': 0.101, 'neu': 0.695, 'pos': 0.204, 'compound': 0.4703}",0.4703,Positive,0.32222222222222224,0.5194444444444445,Positive
96,b'Mike Melo Jr.',"b""Everything works fine but the only problem I have that annoys me is that the time stamp doesn't seem to work well, whenever I wanna adjust the time stamp it just ends up playing the next song, in an iOS device the time stamps work well, hope this gets fixed soon.""",b'Rated 2 stars out of five stars',"b'January 12, 2020'","{'neg': 0.117, 'neu': 0.677, 'pos': 0.206, 'compound': 0.5423}",0.5423,Positive,0.12916666666666668,0.425,Positive
97,b'Paul Sucy',b'App randomly stops playing ALL THE TIME.',b'Rated 2 stars out of five stars',"b'February 8, 2020'","{'neg': 0.19, 'neu': 0.595, 'pos': 0.214, 'compound': 0.0516}",0.0516,Positive,-0.5,0.5,Negative
98,b'Imani Caesar',"b""I'm using it on my android and when I'm trying to go to a different t part in the song it's not working like my friends iphone... so I have to go from the beginning of the song to listen to the part that I really want the best and I believe that this is outrageous. Please fix it""",b'Rated 1 stars out of five stars',"b'January 16, 2020'","{'neg': 0.079, 'neu': 0.743, 'pos': 0.177, 'compound': 0.7466}",0.7466,Positive,0.04999999999999999,0.525,Positive
99,b'Rafael Santillan',b'It needs just a little of improvement on downloading a song',b'Rated 4 stars out of five stars',"b'February 13, 2020'","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.4062}",0.4062,Positive,-0.1875,0.5,Negative
100,b'Kiet Bui',"b""The next update so far is so much better! Thank you for develoled this app! I don't know did you reduce the size of the downloaded songs( if possible ), please do :)! Also can you fix the problem where you turn on the repeat function but the song only play once and it stopped. And the function where...\nFull Review""",b'Rated 5 stars out of five stars',"b'October 24, 2019'","{'neg': 0.063, 'neu': 0.793, 'pos': 0.144, 'compound': 0.6594}",0.6594,Positive,0.25104166666666666,0.75,Positive
101,b'iMs\xc3\xb4 P\xc3\x9cRE',"b""The app works fine on my iPhone but I switched to android and the app is doing the total opposite. Half of my songs won't let me re-download them so I can listen to the offline. Its constatly loading on one of the songs I'm trying to re-download, and wont let me do that to the others. Please fix thi...\nFull Review""",b'Rated 1 stars out of five stars',"b'October 27, 2019'","{'neg': 0.028, 'neu': 0.902, 'pos': 0.07, 'compound': 0.3818}",0.3818,Positive,0.0625,0.3541666666666667,Positive
102,b'daniel holy',"b""Ever since the last update I cant listen to any of my songs. I click on playlist and get a white screen that doesnt go away. If I press on tracks the same thing happens. Before this last update the app worked great. I'd get a crash every now and then but besides that no problems. Now the app isnt ev...\nFull Review""",b'Rated 2 stars out of five stars',"b'October 31, 2019'","{'neg': 0.129, 'neu': 0.831, 'pos': 0.04, 'compound': -0.6858}",-0.6858,Negative,0.16,0.20166666666666666,Positive
103,b'Wow Dude',"b'The app is good but it has a lot of bugs, such as the some of the songs get cut off halfway through and it just switches to the next one, also the shuffle feature doesnt seem to work right as I push it and it will only play songs from 1 artist, or something like that and now the app has stopped work...\nFull Review'",b'Rated 3 stars out of five stars',"b'December 28, 2019'","{'neg': 0.071, 'neu': 0.811, 'pos': 0.118, 'compound': 0.5106}",0.5106,Positive,0.19714285714285712,0.5271428571428571,Positive
104,b'Brenda Stimson',"b""At first, i had some issues with the update, so i made a review complaining about the issue, later the developers contacted me and fixed the whole issue. Now there's another issue, i recently wss listening to harry styles new album but i couldn't listen to fine line so i reported a problem and to be...\nFull Review""",b'Rated 4 stars out of five stars',"b'December 17, 2019'","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.7497}",-0.7497,Negative,0.15757575757575756,0.3054112554112554,Positive
105,b'Monica Marchi',"b""Overall esound is a good app. it lets me download and listen to music without internet for free. Although it has it's problems examples include the fact it sometimes it won't download a song when you want it to or a song not pausing when you press pause and these are things I think esound could work...\nFull Review""",b'Rated 4 stars out of five stars',"b'January 2, 2020'","{'neg': 0.091, 'neu': 0.839, 'pos': 0.07, 'compound': -0.2964}",-0.2964,Negative,0.3666666666666667,0.4666666666666667,Positive
106,b'Nicholas Lehtinen',"b""Does anyone else have a problem with their songs changing what I mean is that sometimes I will download a song for example hey there delilah by the plain white t's then after awhile I will go to listen to it and it has changed from the original song to an instrumental or a interview I've even had so...\nFull Review""",b'Rated 3 stars out of five stars',"b'December 4, 2019'","{'neg': 0.047, 'neu': 0.912, 'pos': 0.04, 'compound': -0.1027}",-0.1027,Negative,-0.037946428571428575,0.4486607142857143,Negative
107,b'Mr. Frosted/LEGENDS',"b""Esound is the best offline music player I've ever used. It's quite buggy, (sometimes completely stops working) but everything else makes up for it.""",b'Rated 4 stars out of five stars',"b'January 19, 2020'","{'neg': 0.103, 'neu': 0.799, 'pos': 0.099, 'compound': 0.2272}",0.2272,Positive,0.55,0.35,Positive
108,b'Kasey Sullivan',"b""Ever since the update, I can only listen to music when it is offline. So when I have internet it just stops playing. And I can't download any new songs. I have unstalled the app and have logged out of the account multiple times. And when I first get in it takes forever to download all my music again...\nFull Review""",b'Rated 2 stars out of five stars',"b'October 28, 2019'","{'neg': 0.054, 'neu': 0.914, 'pos': 0.032, 'compound': -0.0772}",-0.0772,Negative,0.09659090909090907,0.44696969696969696,Positive
109,b'f izA',"b""It's really really good but sometimes the downloaded stuff doesn't come up on that page and it's really annoying but other than thst it's great Edit: it works really well now and that problem that I had doesn't happen anymore but 1 other thing which is the only problem is that the sleep timer only w...\nFull Review""",b'Rated 4 stars out of five stars',"b'November 21, 2019'","{'neg': 0.156, 'neu': 0.69, 'pos': 0.154, 'compound': -0.0295}",-0.0295,Negative,0.08124999999999999,0.65,Positive
110,b'D Dee',b'I recomend this because when your parents block your data you can still listen to music. One problem is downloading songs takes a bit long. But otherwise great app',b'Rated 5 stars out of five stars',"b'January 15, 2020'","{'neg': 0.161, 'neu': 0.72, 'pos': 0.118, 'compound': -0.128}",-0.128,Negative,0.375,0.575,Positive
111,b'Matthew Makrogiannis',"b""Very good app with many advantages over similar apps , but has some bugs and the most disturbing is that the time bar doesn't work as well as iOS app . Many times I want to skip 10 seconds and it turns out to switch the song. Overall eaound is a must app to have I like it""",b'Rated 3 stars out of five stars',"b'December 22, 2019'","{'neg': 0.114, 'neu': 0.752, 'pos': 0.134, 'compound': -0.1804}",-0.1804,Negative,0.27285714285714285,0.4971428571428572,Positive
112,b'aminul chowdhury',"b""It's ok does the job but you know when you get out the app and want to press pause or skip song through the notification center the button are soo small.. and when you try skipping bits of a song you have to try so many time and once you get to do it it only does a few seconds after an attempts that...\nFull Review""",b'Rated 3 stars out of five stars',"b'January 4, 2020'","{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.2617}",0.2617,Positive,0.075,0.43333333333333335,Positive
113,b'Liam Twigg',"b""Ever since the app was updated everytime I load up a song either online or offline it says that the app has closed so i try to re open it but still the song doesn't load and I get the same error message everytime I try to listen to a song, it worked fine before the app was updated.""",b'Rated 2 stars out of five stars',"b'October 31, 2019'","{'neg': 0.084, 'neu': 0.877, 'pos': 0.039, 'compound': -0.3818}",-0.3818,Negative,0.07916666666666666,0.30625,Positive
114,b'Lps.demon. productions',"b'Ok so I have this app on my I pad and it works fine but when I try to download it on my samung phone I open the app and log in and it downloads the songs I have on there by it self.. when I try to play a song it shows a error message saying ""The song is not available the track is not available [WC00...\nFull Review'",b'Rated 3 stars out of five stars',"b'November 10, 2019'","{'neg': 0.054, 'neu': 0.878, 'pos': 0.068, 'compound': -0.0129}",-0.0129,Negative,0.10333333333333336,0.46,Positive
115,b'Sergio Zelaya',"b'The app has bugs. The song will skip by itself, the songs do not load. The songs do not load after one is played. When you click pause it does not pause. When you click forward or back, it does not continue. Sergio'",b'Rated 2 stars out of five stars',"b'December 7, 2019'","{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.34}",0.34,Positive,0.0,0.0,Negative
116,b'Joong Soo Shin',"b'I recently switched over from apple to android and while I had no problems from my iPhone, my downloaded music disappears after I exit out of the app and back in'",b'Rated 4 stars out of five stars',"b'January 17, 2020'","{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.743}",-0.743,Negative,0.0,0.125,Negative
117,b'SCP-101',"b'5 Stars! This app is better than Spotify in my opinion mainly because you get more features with out have to pay, the sound quality is always good and I have had an overall great experience with this app. Recommend to others!'",b'Rated 5 stars out of five stars',"b'December 28, 2019'","{'neg': 0.028, 'neu': 0.715, 'pos': 0.258, 'compound': 0.9115}",0.9115,Positive,0.4666666666666667,0.4404761904761905,Positive
118,b'StarxMsp',"b""Has glitches here and there but it's ok...""",b'Rated 4 stars out of five stars',"b'March 23, 2020'","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Negative,0.5,0.5,Positive
119,b'Paty Lopez',"b""The newest interface is awesome! I really love it. However, the optimization issues still going on in Android, it's true that some of them are gone, but the majority of them still there :(""",b'Rated 3 stars out of five stars',"b'November 2, 2019'","{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.8068}",0.8068,Positive,0.275,0.8125,Positive
