,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
42,tanvi sampat,"A subscription of rs. 99 is activated in my account, have been trying to cancel it since 3 months not getting any response from chat neither its showing anywhere in the app. Horrible service from gaana team. Wont even give a star if there is an option \xf0\x9f\x91\x8e",Rated 1 stars out of five stars,"April 5, 2020","{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.6705}",-0.6705,Negative,-1.0,1.0,Negative
43,HEMANTH HARI,Its awesome app for music. Only advice it should have all the music existing on Earth. It has many songs but there aint many foreign language songs yet.,Rated 5 stars out of five stars,"April 8, 2020","{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.3716}",0.3716,Positive,0.375,0.625,Positive
44,Harish kumar,I could notice a trend. 90% of the time the song doesnt play full.. Was working fine when I had plus account. But now its the other way around.. Getting Worser day by day.,Rated 1 stars out of five stars,"April 1, 2020","{'neg': 0.145, 'neu': 0.804, 'pos': 0.052, 'compound': -0.5}",-0.5,Negative,0.21388888888888888,0.475,Positive
45,Raman Jangid,The audio quality is not clear . I am Gaana plus user and I have been using this app since last 7-8. But due to some reason I reinstalled this app. I changed the audio quality on high definition but the audio quality is still the same.,Rated 2 stars out of five stars,"March 26, 2020","{'neg': 0.037, 'neu': 0.963, 'pos': 0.0, 'compound': -0.1511}",-0.1511,Negative,-0.003000000000000003,0.29799999999999993,Negative
46,lalit patidar,"This app has a lot of issues \xf0\x9f\x98\xa0 some times it stops using mobile data automatically after that i have to listen offline songs that i have downloaded. After i solved this issue buy reinstalling this app it stops to download songs, download will be queued for forever",Rated 1 stars out of five stars,"March 26, 2020","{'neg': 0.1, 'neu': 0.855, 'pos': 0.045, 'compound': -0.1531}",-0.1531,Negative,0.0,0.0,Negative
47,Divyansh Singh,"So many bugs , and glitches , recent list doesnt update properly , and when song finishes , it doesnt change , too many bugs , please fix it",Rated 1 stars out of five stars,"April 8, 2020","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.3182}",0.3182,Positive,0.25,0.3375,Positive
48,Omkar V. Natekar,"Every time i play song or Podcast its automatically stopped playing. Every time i need to play it again, n guess what its get play from the start... every time... there is no option for half star i would had given that.",Rated 1 stars out of five stars,"April 3, 2020","{'neg': 0.091, 'neu': 0.71, 'pos': 0.2, 'compound': 0.5994}",0.5994,Positive,-0.16666666666666666,0.16666666666666666,Negative
49,Prateek Panwar,Issue with song timestamp slider. Its too much near corner of screen. You cant touch easily to start of song or end. As some gap between edge and widen it a bit,Rated 3 stars out of five stars,"April 9, 2020","{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.2584}",-0.2584,Negative,0.26666666666666666,0.6166666666666667,Positive
50,ruchi naag,Still that same condition. After updating the app.showing same songs everywhere.\xf0\x9f\x98\xa0.it didnt suffle new or different songs.such a ridiculous app.I have herad same songs again and again.from last many weeks this app is showing the same 5-10 song as treanding songs.which i have searched and listen.it ...\nFull Review,Rated 1 stars out of five stars,"April 4, 2020","{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,0.03367003367003367,0.34680134680134683,Positive
51,Srinivas Sri,One of the best music app.. because ..sound quality is beautiful..I love this sound quality(bass).. Im listening in my Sony headphones. I enjoyed..,Rated 5 stars out of five stars,"April 8, 2020","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.8555}",0.8555,Positive,0.6,0.5,Positive
52,Jay Munjpara,I find this app not useful because i had a voucher code from GyFTR. The voucher applied successfully but still this app asking to choose subscription and add a credit card. WHY? YOU SHOULD NEVER ASK FOR ANY PAYMENT DETAILS UNTIL FREE TRIAL.,Rated 2 stars out of five stars,"April 9, 2020","{'neg': 0.036, 'neu': 0.733, 'pos': 0.231, 'compound': 0.8846}",0.8846,Positive,0.3333333333333333,0.5833333333333334,Positive
53,ajitpal singh,App is not driving friendly as you have to pick up the phone to change the songs. Make it user friendly by adding 2 features 1. Swipe to play next song automatically. 2. Double pressing volume button changes song. Hope to see these features soon.,Rated 2 stars out of five stars,"April 1, 2020","{'neg': 0.104, 'neu': 0.791, 'pos': 0.105, 'compound': 0.0114}",0.0114,Positive,0.1875,0.25,Positive
54,Suresh Pal,This is a wonderful app for music it provides music in which ever language you want and we can work on other app while using this app. It also provides the information about which songs is trending so I recommend to download this app for songs,Rated 5 stars out of five stars,"April 1, 2020","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.8042}",0.8042,Positive,0.4375,0.6875,Positive
